iter	Passed	Remaining
0	3	3879
1	9	4702
2	14	4744
3	17	4448
4	22	4557
5	26	4416
6	30	4370
7	36	4486
8	39	4392
9	44	4424
10	48	4394
11	52	4339
12	56	4324
13	61	4319
14	65	4326
15	70	4356
16	75	4347
17	78	4305
18	83	4298
19	87	4283
20	91	4257
21	96	4274
22	99	4245
23	103	4220
24	107	4202
25	111	4173
26	115	4173
27	119	4145
28	123	4141
29	128	4144
30	132	4127
31	136	4118
32	139	4099
33	143	4069
34	146	4041
35	149	4012
36	153	3994
37	156	3969
38	160	3955
39	163	3934
40	167	3922
41	171	3921
42	175	3915
43	179	3904
44	183	3891
45	186	3873
46	190	3858
47	193	3845
48	197	3837
49	201	3831
50	205	3817
51	209	3818
52	212	3804
53	217	3802
54	220	3796
55	224	3785
56	228	3773
57	231	3764
58	236	3772
59	241	3775
60	244	3763
61	248	3754
62	252	3748
63	255	3740
64	259	3734
65	263	3724
66	266	3713
67	270	3702
68	273	3696
69	277	3692
70	281	3686
71	285	3675
72	288	3669
73	292	3662
74	296	3657
75	299	3646
76	303	3641
77	307	3639
78	311	3635
79	315	3630
80	319	3624
81	323	3616
82	326	3607
83	329	3592
84	332	3581
85	336	3579
86	340	3573
87	343	3558
88	346	3548
89	350	3540
90	353	3530
91	356	3516
92	359	3505
93	362	3493
94	365	3483
95	368	3473
96	372	3464
97	375	3456
98	378	3447
99	395	3560
100	399	3554
101	402	3543
102	405	3529
103	408	3517
104	410	3503
105	413	3490
106	416	3478
107	419	3467
108	422	3457
109	426	3447
110	429	3440
111	432	3430
112	436	3422
113	438	3410
114	442	3402
115	445	3391
116	448	3383
117	451	3371
118	454	3365
119	457	3354
120	460	3347
121	464	3340
122	467	3330
123	469	3319
124	472	3307
125	475	3298
126	478	3287
127	481	3278
128	484	3273
129	494	3311
130	499	3311
131	504	3315
132	509	3318
133	515	3330
134	519	3327
135	523	3327
136	528	3331
137	532	3323
138	535	3319
139	539	3315
140	543	3310
141	546	3300
142	550	3298
143	555	3303
144	560	3306
145	564	3299
146	567	3294
147	571	3289
148	574	3283
149	579	3281
150	582	3274
151	585	3266
152	588	3257
153	591	3247
154	594	3241
155	597	3231
156	600	3225
157	603	3217
158	607	3210
159	610	3202
160	612	3193
161	615	3185
162	619	3178
163	622	3172
164	625	3163
165	628	3155
166	630	3147
167	633	3138
168	636	3131
169	648	3167
170	651	3159
171	654	3151
172	657	3143
173	660	3135
174	663	3128
175	666	3121
176	669	3113
177	672	3106
178	675	3097
179	678	3092
180	682	3088
181	685	3082
182	688	3075
183	691	3067
184	694	3060
185	697	3053
186	700	3046
187	703	3038
188	706	3033
189	710	3026
190	713	3020
191	716	3014
192	719	3007
193	722	2999
194	724	2992
195	727	2985
196	730	2977
197	733	2971
198	736	2963
199	739	2957
200	742	2950
201	745	2944
202	748	2937
203	751	2931
204	754	2925
205	758	2921
206	761	2915
207	763	2908
208	767	2903
209	770	2898
210	774	2895
211	777	2889
212	780	2885
213	783	2879
214	787	2874
215	790	2867
216	793	2862
217	796	2855
218	800	2853
219	803	2847
220	806	2842
221	809	2838
222	813	2835
223	817	2831
224	820	2825
225	822	2818
226	829	2823
227	832	2818
228	835	2812
229	838	2806
230	841	2800
231	844	2795
232	847	2789
233	850	2784
234	853	2779
235	856	2772
236	859	2767
237	862	2761
238	865	2756
239	868	2751
240	872	2748
241	875	2743
242	879	2738
243	882	2732
244	885	2727
245	888	2722
246	891	2716
247	894	2712
248	897	2707
249	900	2702
250	903	2696
251	906	2691
252	909	2686
253	912	2681
254	915	2675
255	919	2671
256	921	2665
257	925	2660
258	927	2654
259	930	2648
260	933	2643
261	936	2636
262	939	2631
263	942	2626
264	945	2621
265	948	2616
266	950	2610
267	953	2604
268	956	2599
269	959	2594
270	962	2588
271	965	2584
272	968	2579
273	972	2575
274	975	2571
275	978	2566
276	981	2562
277	984	2557
278	987	2552
279	990	2548
280	994	2544
281	997	2539
282	1000	2534
283	1003	2529
284	1006	2525
285	1009	2520
286	1013	2516
287	1015	2511
288	1018	2506
289	1021	2501
290	1024	2496
291	1027	2492
